PP7435_Chr1-0001	PAS_chr1-3_0003
PP7435_Chr1-0002	PAS_chr1-3_0004
PP7435_Chr1-0003	PAS_chr1-3_0005
PP7435_Chr1-0004	PAS_chr1-3_0008
PP7435_Chr1-0005	homolog not anymore annotated
PP7435_Chr1-0006	PAS_chr1-3_0010
PP7435_Chr1-0007	PAS_chr1-3_0011
PP7435_Chr1-0008	PAS_chr1-3_0013
PP7435_Chr1-0009	PAS_chr1-3_0014
PP7435_Chr1-0010	PAS_chr1-3_0015
PP7435_Chr1-0011	PAS_chr1-3_0016
PP7435_Chr1-0012	PAS_chr1-3_0017
PP7435_Chr1-0013	PAS_chr1-3_0018
PP7435_Chr1-0014	PAS_chr1-3_0020
PP7435_Chr1-0015	
PP7435_Chr1-0016	PAS_chr1-3_0022
PP7435_Chr1-0017	PAS_chr1-3_0023
PP7435_Chr1-0018	PAS_chr1-3_0024
PP7435_Chr1-0019	PAS_chr1-3_0025
PP7435_Chr1-0020	PAS_chr1-3_0026
PP7435_Chr1-0021	PAS_chr1-3_0027
PP7435_Chr1-0022	PAS_chr1-3_0028
PP7435_Chr1-0023	PAS_chr1-3_0029
PP7435_Chr1-0024	PAS_chr1-3_0030
PP7435_Chr1-0025	PAS_chr1-3_0031
PP7435_Chr1-0026	PAS_chr1-3_0032
PP7435_Chr1-0027	PAS_chr1-3_0033
PP7435_Chr1-0028	PAS_chr1-3_0034
PP7435_Chr1-0029	homolog not anymore annotated
PP7435_Chr1-0030	PAS_chr1-3_0036
PP7435_Chr1-0031	PAS_chr1-3_0037
PP7435_Chr1-0032	PAS_chr1-3_0038
PP7435_Chr1-0033	PAS_chr1-3_0039
PP7435_Chr1-0034	PAS_chr1-3_0040
PP7435_Chr1-0035	PAS_chr1-3_0041
PP7435_Chr1-0036	
PP7435_Chr1-0037	PAS_chr1-3_0043
PP7435_Chr1-0038	PAS_chr1-3_0044
PP7435_Chr1-0039	PAS_chr1-3_0045
PP7435_Chr1-0040	PAS_chr1-3_0046
PP7435_Chr1-0041	PAS_chr1-3_0047
PP7435_Chr1-0042	PAS_chr1-3_0048
PP7435_Chr1-0043	PAS_chr1-3_0049
PP7435_Chr1-0044	PAS_chr1-3_0050
PP7435_Chr1-0045	PAS_chr1-3_0051
PP7435_Chr1-0046	PAS_chr1-3_0052
PP7435_Chr1-0047	
PP7435_Chr1-0048	PAS_chr1-3_0053
PP7435_Chr1-0049	PAS_chr1-3_0291
PP7435_Chr1-0050	PAS_chr1-3_0292
PP7435_Chr1-0051	PAS_chr1-3_0054
PP7435_Chr1-0052	PAS_chr1-3_0055
PP7435_Chr1-0053	PAS_chr1-3_0056
PP7435_Chr1-0054	PAS_chr1-3_0057
PP7435_Chr1-0055	PAS_chr1-3_0058
PP7435_Chr1-0056	PAS_chr1-3_0059
PP7435_Chr1-0057	PAS_chr1-3_0293
PP7435_Chr1-0058	PAS_chr1-3_0061
PP7435_Chr1-0059	PAS_chr1-3_0063
PP7435_Chr1-0060	PAS_chr1-3_0064
PP7435_Chr1-0061	PAS_chr1-3_0065
PP7435_Chr1-0062	PAS_chr1-3_0066
PP7435_Chr1-0063	PAS_chr1-3_0067
PP7435_Chr1-0064	PAS_chr1-3_0068
PP7435_Chr1-0065	PAS_chr1-3_0069
