id	type	name	description
PP7435_Chr1-0001	ORF	PP7435_Chr1-0001	Hypothetical protein conserved
PP7435_Chr1-0002	ORF	XUT5	Putative xylose transporter, similar to Scheffersomyces stipitis XUT5
PP7435_Chr1-0003	ORF	PP7435_Chr1-0003	Protein with low similarity to phytanoyl- dioxygenases
PP7435_Chr1-0004	ORF	PP7435_Chr1-0004	Hypothetical protein not conserved
PP7435_Chr1-0005	ORF	PP7435_Chr1-0005	Hypothetical protein not conserved
PP7435_Chr1-0006	ORF	PP7435_Chr1-0006	Hypothetical protein conserved (domain: GAL4-like Zn2Cys6 binuclear cluster DNA-binding domain and fungal_TF_MHR (fungal transcription factor regulatory middle homology region))
PP7435_Chr1-0007	ORF	GTH1	Pichia pastoris high affinity glucose transporter, similar to Kluyveromyces lactis HGT1, enriched among several compartments
PP7435_Chr1-0008	ORF	PP7435_Chr1-0008	Protein with low similarity to isochorismatase family hydrolase, enriched in cytosol
PP7435_Chr1-0009	ORF	FMO1-1	Flavin-containing monooxygenase, known in S. cerevisiae as protein of the cytosolic side of the ER membrane, catalyzes oxidation of biological thiols to maintain the ER redox buffer ratio for correct folding of disulfide-bonded proteins
PP7435_Chr1-0010	ORF	PP7435_Chr1-0010	Protein with low similarity to putative transcriptional regulatory proteins
PP7435_Chr1-0011	ORF	PP7435_Chr1-0011	Protein with low similarity to short-chain dehydrogenase dehydrogenases
PP7435_Chr1-0012	ORF	YCT1	High-affinity cysteine-specific transporter with similarity to the Dal5p family of transporters, in S. cerevisiae the green fluorescent protein (GFP)-fusion protein localizes to the ER and YCT1 is not an essential gene
PP7435_Chr1-0013	ORF	PP7435_Chr1-0013	Hypothetical protein not well conserved (domain: Zn2Cys6 binuclear cluster DNA-binding domain)
PP7435_Chr1-0014	ORF	PP7435_Chr1-0014	Hypothetical protein not conserved
PP7435_Chr1-0015	ribosomal RNA	PP7435_Chr1-0015	8S ribosomal RNA
PP7435_Chr1-0016	ORF	KAP104	Transportin or cytosolic karyopherin beta 2, functions in the rg-nuclear localization signal-mediated nuclear import/reimport of mRNA-binding proteins Nab2p and Hrp1p, regulates asymmetric protein synthesis in daughter cells during mitosis, enriched in cytosol in glucose-grown cells
PP7435_Chr1-0017	ORF	DAL1	Allantoinase, converts allantoin to allantoate in the first step of allantoin degradation, expression in S. cerevisiae sensitive to nitrogen catabolite repression
PP7435_Chr1-0018	ORF	UGA2	Succinate semialdehyde dehydrogenase involved in the utilization of gamma-aminobutyrate (GABA) as a nitrogen source, part of the 4-aminobutyrate and glutamate degradation pathways, enriched in cytosol in glucose-grown cells, localized in S. cerevisiae to the cytoplasm
PP7435_Chr1-0019	ORF	RAD57	Protein that stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA, involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis, forms heterodimer with Rad55p
PP7435_Chr1-0020	ORF	MAF1	Highly conserved negative regulator of RNA polymerase III, binds to the N-terminal domain of the Rpc160p subunit of Pol III to prevent closed-complex formation, localization and activity in S. cerevisiae are regulated by phosphorylation, mediated by TORC1, protein kinase A, and Sch9p, known in S. cerevisiae as cytoplasmic protein during vegetative growth which translocates to the nucleus and nucleolus under stress conditions
PP7435_Chr1-0021	ORF	PHM7	Protein of unknown function, expression is regulated by phosphate levels, enriched in plasma membrane and among several compartments, in S. cerevisiae the green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and vacuole and protein abundance increases in response to DNA replication stress
